# 系统解剖学题库导入数据（呼吸系统+泌尿系统+男性生殖系统）
## 一、选择题（题目|选项1|选项2|选项3|选项4|选项5|答案）
### 第五章 呼吸系统
关于呼吸道的描述,正确的是|口腔属于上呼吸道|上呼吸道仅有呼吸功能|上呼吸道包括鼻、咽、喉|喉属于下呼吸道|支气管和肺是下呼吸道|C
呼吸道最狭窄的部位是|声门裂|前庭裂|喉口|喉前庭|喉中间腔|A
参与构成骨性鼻中隔的是|蝶骨体和腭骨|腭骨和筛骨|筛骨垂直板和犁骨|中鼻甲和蝶骨体|筛骨和上颌骨|C
上鼻甲或最上鼻甲后上方与蝶骨体之间的凹陷是|上颌窦|上鼻道|蝶筛隐窝|前筛窦|垂体窝|C
与上颌第2前磨牙、第1磨牙和第2磨牙邻近的鼻旁窦是|额窦|上颌窦|蝶窦|前、中筛窦|后筛窦|B
开口于上鼻道的鼻旁窦是|额窦|上颌窦|前筛窦|中筛窦|后筛窦|E
颅中窝骨折,血性脑脊液经鼻腔流出,可能伤及的鼻旁窦是|额窦|筛窦|上颌窦|蝶窦|上颌窦和额窦|D
上颌窦的开口位于|下鼻道|上鼻道的半月裂孔|中鼻道的半月裂孔|中鼻甲内侧面|中鼻甲的黏膜|C
关于喉的描述,正确的是|环甲肌收缩时紧张并拉长声带|环甲肌由喉返神经支配|喉室位于前庭的上方|甲状软骨和环状软骨之间仅借韧带连结|会厌位于喉的后方|A
损伤后可引起喉狭窄的喉软骨是|会厌软骨|甲状软骨|环状软骨|杓状软骨|小角软骨|C
声门裂位于|两侧喉室之间|两侧声之间|两侧声韧带之间|两侧前庭襞之间|方形膜下缘|B
喉腔最狭窄的部位是|前庭裂|喉中间腔|声门下腔|声门裂|喉前庭|D
关于喉前庭的描述,正确的是|又称为喉腔|位于喉口与前庭之间|呈上窄下宽状|位于弹性圆锥下缘|位于构状软骨声带突下方|B
关于气管的描述,正确的是|气管权平对胸骨角高度|第5~7气管软骨前方有甲状腺峡|气管位于食管后方|有18~20个"C"形软骨环|位于中纵隔内|A
左主支气管的特点是|位于食管后方|行于食管前方|比右主支气管短|在左肺动脉上方进入肺门|在左肺静脉下方进入肺门|B
两肺根内的结构自前向后排列是|肺静脉、肺动脉、主支气管|肺动脉、肺静脉、主支气管|肺动脉、主支气管、肺静脉|肺静脉、主支气管、肺动脉|主支气管、肺静脉、肺动脉|A
右肺根内各结构自上而下排列是|肺静脉、肺动脉、支气管|肺静脉、支气管、肺动脉|肺动脉、支气管、肺静脉|肺动脉、肺静脉、支气管|支气管、肺动脉、肺静脉|E
左肺根内各结构自上而下排列是|肺静脉、肺动脉、主支气管|肺静脉、主支气管、肺动脉|肺动脉、主支气管、肺静脉|肺动脉、肺静脉、主支气管|主支气管、肺动脉、肺静脉|C
肺的体表投影|肺尖低于胸膜顶lcm|左肺前界在第6肋间隙转向外侧|在锁骨中线肺下界与第6肋相交|肺下界在腋中线与第9肋相交|肺后面下界终止于第12胸椎棘突|C
关于肺的描述,正确的是|位于胸膜腔内|右肺上方有主动脉压迹|左肺上方有奇静脉沟|肺尖经胸廓上口向上突至颈根部|深吸气时可充满肋隔隐窝|D
关于胸膜腔的描述,正确的是|由脏、壁胸膜共同围成的密闭腔隙|由壁胸膜相互返折形成|可通过呼吸与外界相通|左、右胸膜腔经气管相通|内有左、右肺和少量浆液|A
两侧胸膜腔|内有肺|借心包横窦相通|内含少量浆液|借膈的主动脉裂孔与腹膜腔相通|下界在腋中线平第8肋|C
关于肋纵隔隐窝的描述,正确的是|由脏胸膜和壁胸膜返折形成|位于肋胸膜与纵隔胸膜移行处|当深吸气时能被肺下缘充满|由胸壁和膈围成|该隐窝只存在于右侧胸膜腔|B
胸膜腔穿刺抽取积液时,应选择的进针位置是|在腋中线以前,应沿下一肋骨的上缘|在腋中线以后,应沿下一肋骨的上缘|在腋中线以后,应沿肋间隙的中间|在腋中线以前,应沿上一肋骨的下缘|在腋中线以后,应沿上一肋骨的下缘|B
胸膜下界在锁骨中线处相交于|第6肋|第7肋|第8肋|第9肋|第10肋|C
形成肺韧带的是|脏胸膜|肋胸膜与肠胸膜的移行部|肋胸膜与胸膜顶的移行部|纵隔胸膜与肠胸膜的移行部|纵隔胸膜与脏胸膜的移行部|E
返折形成肋隔隐窝的结构是|肋胸膜和膈胸膜|肋胸膜和纵隔胸膜|纵隔胸膜和膈胸膜|肋胸膜和胸膜顶|纵隔胸膜和脏胸膜|A
关于纵隔的描述,正确的是|位于胸膜腔内|上界是肺尖|只容纳心和肺|两侧界是纵隔胸膜|两侧界是肺门|D
位于上纵隔最前面的结构|胸导管|交感干|气管|食管|胸腺|E
经过上纵隔和后纵隔的结构|气管|主动脉弓|上腔静脉|食管|下腔静脉|D
男性,25岁,最近出现右眼溢泪,诊断是右侧鼻泪管阻塞。鼻泪管的开口部位是|上鼻道|中鼻道|下鼻道|半月裂孔|筛漏斗|C
右上第1磨牙拔出时发生牙根折断,断根进入鼻旁窦中,此鼻旁窦应该是|额窦|前筛窦|中筛窦|蝶窦|上颌窦|E
急性喉阻塞时,为抢救患者生命进行穿刺建立暂时通气道的部位是|声韧带|环甲正中韧带|前庭韧带|甲状舌骨正中韧带|甲状舌骨外侧韧带|B
在甲状腺切除术中应紧贴腺的上极结扎甲状腺上动脉,以免伤及喉上神经喉外支。喉上神经喉外支支配的喉肌是|环甲肌|环构后肌|环构侧肌|甲杓肌|杓斜肌|A
女性,59岁,因肺癌行右侧全肺切除术,术中不需切断结扎的结构是|右主支气管|右肺动脉|奇静脉|右肺上静脉|右肺下静脉|C
男性,62岁,右肺肺癌已是晚期不能采用手术治疗,医生决定经右肺的营养性血管介入治疗,最可能采用的血管是|右支气管静脉|右支气管动脉|右肺动脉|右肺上静脉|右肺下静脉|B
经锁骨上缘注射或穿刺时,除了可能损伤肺尖外,还可能损伤|肋胸膜|纵隔胸膜|膈胸膜|胸膜顶|肺韧带|D
右肺下叶原发性肺癌患者出现胸腔积液,站立时胸腔积液积聚的部位是|左侧肋纵隔隐窝|右侧肋纵隔隐窝|左侧肋膈隐窝|右侧肋膈隐窝|左侧隔纵隔隐窝|D
男性,48岁,发现有大量心包积液,性质不明,需进行心包穿刺检查,穿刺最安全的部位|右侧第5肋间隙|右剑肋角|左剑肋角|左侧第2肋间隙|右侧第6肋间隙|C
主动脉弓动脉瘤可压迫邻近的纵隔内器官,其位于哪个解剖学纵隔分区|上纵隔|下纵隔|前纵隔|中纵隔|后纵隔|A
下列不属于鼻旁窦的是|额窦|上颌窦|筛窦|蝶窦|海绵窦|E
鼻窦炎时额部疼痛较为明显是因为炎症累及了|额窦|前筛窦|中筛窦|后筛窦|蝶窦|A
上颌窦炎症侵入眶腔通过的壁是|前壁|后外壁|内侧壁|上壁|底壁|D
上颌窦开口的位置是|筛漏斗|半月裂孔|上鼻道|蝶筛隐窝|下鼻道|B
鼻黏膜嗅区位于|下鼻甲内侧面及相对的鼻中隔|中鼻甲内侧面及相对的鼻中隔|上鼻甲内侧面及相对的鼻中隔|下鼻道内侧面|中鼻道内侧面|C
形成声韧带的是|杓状会厌|弹性圆锥上缘|弹性圆锥下缘|方形膜上缘|方形膜下缘|B
声带的特点是|由声韧带、声带肌及覆盖其表面的黏膜构成|环甲肌收缩能松弛声带|喉中间腔位于声带的下方|喉室位于声带的下方|方形膜参与形成声带|A
喉室属于|前庭裂的一部分|声门裂的一部分|喉前庭的一部分|喉中间腔的一部分|声门下腔的一部分|D
环构关节的作用是|紧张声带|松弛声带|开大喉口|缩小喉口|开大或缩小声门裂|E
能使声带紧张的肌是|环构侧肌|杓斜肌|环甲肌|甲构肌|构会厌肌|C
下列哪项不是气管的结构|气管软骨|膜壁|膜间部|气管权|气管隆嵴|C
临床上气管切开的常用部位是|环状软骨和气管之间|第1~3气管软骨处|第3~5气管软骨处|第5~7气管软骨处|第7~9气管软骨处|C
主支气管的特点是|是气管的第2级分支|左主支气管短而粗|右主支气管细而长|气管异物多坠入右主支气管|左侧嵴下角小于右侧嵴下角|D
支气管镜检查的定位标志是|气管杈|气管隆嵴|喉口|前庭裂|声门裂|B
气管位于|上纵隔内|下纵隔内|前纵隔内|中纵隔内|后纵隔内|A
上颌窦开口于|上鼻甲|中鼻道|下鼻道|蝶筛隐窝|上鼻道|B
额窦开口于|上鼻甲|中鼻道|下鼻道|蝶筛隐窝|上鼻道|B
蝶窦开口于|上鼻甲|中鼻道|下鼻道|蝶筛隐窝|上鼻道|D
鼻泪管开口于|上鼻甲|中鼻道|下鼻道|蝶筛隐窝|上鼻道|C
位于甲状软骨下缘和环状软骨弓上缘的结构是|环甲正中韧带|前庭韧带|方形膜|环状软骨气管韧带|甲状舌骨膜|A
连于环状软骨下缘与第1气管软骨之间的结构是|环甲正中韧带|前庭韧带|方形膜|环状软骨气管韧带|甲状舌骨膜|D
方形膜的游离下缘称为|环甲正中韧带|前庭韧带|方形膜|环状软骨气管韧带|甲状舌骨膜|B
连于甲状软骨上缘和舌骨之间的结构是|环甲正中韧带|前庭韧带|方形膜|环状软骨气管韧带|甲状舌骨膜|E
声襞较前庭更突向|声门下腔|前庭裂|喉中间腔|喉腔|喉前庭|D
前庭之间的裂隙|声门下腔|前庭裂|喉中间腔|喉腔|喉前庭|B
喉室属于|声门下腔|前庭裂|喉中间腔|喉腔|喉前庭|C
喉与气管权之间的通气管道是|气管|主支气管|肺叶支气管|支气管|肺段支气管|A
气管权与第一肺门之间的通气管道是|气管|主支气管|肺叶支气管|支气管|肺段支气管|B
气管权至肺泡管之间的通气管道是|气管|主支气管|肺叶支气管|支气管|肺段支气管|D
两侧胸膜前返折线之间的区域是|心包区|胸膜隐窝|隔胸膜|肋隔隐窝|肺韧带|A
肋胸膜与胸膜相互移行处称为|心包区|胸膜隐窝|隔胸膜|肋隔隐窝|肺韧带|D
脏胸膜和壁胸膜移行所形成的结构是|心包区|胸膜隐窝|隔胸膜|肋隔隐窝|肺韧带|E
上纵隔内有|迷走神经|心包隔动脉|胸主动脉|胸廓内动脉纵隔支|下腔静脉|A
中纵隔内有|迷走神经|心包隔动脉|胸主动脉|胸廓内动脉纵隔支|下腔静脉|B
前纵隔内有|迷走神经|心包隔动脉|胸主动脉|胸廓内动脉纵隔支|下腔静脉|D

### 第六章 泌尿系统
肾的被膜由外向内依次是|肾筋膜、脂肪囊、纤维囊|肾筋膜、纤维囊、脂肪囊|脂肪囊、纤维囊、肾筋膜|脂肪囊、肾筋膜、纤维囊|纤维囊、脂肪囊、肾筋膜|A
肾蒂内各结构的排列,自前向后依次是|肾静脉、肾动脉、肾盂末端|肾静脉、肾盂末端、肾动脉|肾盂末端、肾静脉、肾动脉|肾盂末端、肾动脉、肾静脉|肾动脉、肾静脉、肾盂末端|A
肾蒂内各结构的排列,自上而下依次是|肾静脉、肾动脉、肾盂|肾静脉、肾盂、肾动脉|肾盂、肾静脉、肾动脉|肾盂、肾动脉、肾静脉|肾动脉、肾静脉、肾盂|E
输尿管|行于卵巢血管的前方|跨越髂血管前方|右输尿管与阑尾相邻|在子宫颈外侧通过子宫动脉的前上方|位于腹膜腔内,脊柱两侧|B
右肾门为下列哪个结构所覆盖|肝方叶|十二指肠降部|结肠右曲|胆囊|肠系膜血管|B
肾的位置|位于腹膜后间隙前|右肾略高于左肾|肾门高度约位于第2腰椎体平面|第12肋斜越左肾后面中部|第12肋斜越右肾后面中部|D
右肾的毗邻|外上方为胃|下方为结肠左曲|内上方为脾|前上方为胃|内侧缘邻近十二指肠降部|E
由于肾筋膜构成的方式,使肾移动的方向仅能是|向内侧|向外侧|向上|向下|向内上方|D
输尿管|起自肾大盏,终止于膀胱|分为腹段、盆段两部分|有两个狭窄|女性在距子宫颈外侧缘2cm处行于子宫动脉的后方|管壁有较厚的横纹肌|D
膀胱|膀胱各部之间有明显界限|膀胱三角处缺少黏膜下层|输尿管间在输尿管口与尿道内口之间|女性膀胱垂显著|女性膀胱容量较男性大|B
膀胱|随呼吸和体位上下移动|男性低于女性|成人低于儿童|位于腹腔内|老年人的膀胱位置较高|C
下列管道中,无明显狭窄者为|食管|男性尿道|输尿管|输精管|输卵管|D
输尿管盆部|沿腰大肌前面下行至盆底|属于腹膜内位器官|经骨盆上口入盆后称为输尿管盆部|女性经子宫动脉的前上方至膀胱底|男性经输精管的前上方至膀胱底|C
女性输尿管的盆段在进入膀胱前,跨越其前上方的是|髂内血管|卵巢血管|子宫动脉|闭孔神经|闭孔血管|C
女性尿道|长8~10cm|短而直|位于阴道后面|尿道下端有尿道阴道括约肌环绕,不受意识支配|尿道旁腺感染时,可形成囊肿而致尿路阻塞|B
女性易发生逆行性尿路感染,是因为|前上方与阴蒂相邻|膀胱容积大|尿道短、宽而直,与阴道相邻|尿道开口于阴道前庭|女性抵抗力差|C
临床进行膀胱穿刺时,可不进入腹膜腔以减少感染,其根据是|膀胱位于盆腔上方|膀胱位置浅表不必打开腹膜腔|膀胱是腹膜外位器官|膀胱体直接与腹前壁相邻|膀胱随尿液充盈程度不同发生位置变化|E
肾门的高度平对|第11胸椎体|第12胸椎体|第1腰椎体|第2腰椎体|第3腰椎体|C
膀胱肿瘤、结核的好发部位|膀胱尖|膀胱底|膀胱体|膀胱颈|膀胱三角|E
膀胱|膀胱底朝向下方|膀胱三角区有许多黏膜皱襞|膀胱三角的上角为尿道内口|膀胱三角的两个侧角间有横行的黏膜皱装|膀胱三角位于膀胱体的内面|D
男性,37岁,左侧腰部酸胀一年余,左侧腹部疼痛两天,来院求诊,CT:左侧肾盂积水,皮质变薄,输尿管上段扩张明显,左侧输尿管中段结石,结石约1.8cm,医生予以超声波碎石后排出结石。试问输尿管结石易滞留于何处|输尿管腹部|输尿管盆部|肾盂|肾大盏|输尿管狭窄处|E
男性,67岁,半年前开始出现尿急,近一周尿液变红,遂来医院就医,经膀胱镜检查确诊为膀胱肿瘤,试问医生进行膀胱镜检查时应特别注意检查哪个部位|膀胱体|膀胱底|膀胱尖|输尿管间襞|膀胱三角|E
女性,12岁,三周前患上呼吸道感染经抗感染治疗后痊愈,近日晨起时出现眼睑及双下肢水肿,并伴有食欲减退、恶心、呕吐、少尿以及血尿。医生检查后确诊为急性肾小球肾炎,试问关于肾的叙述错误的是|肾锥体的尖端由肾小盏承接|肾锥体的数目与肾乳头总数一致|肾皮质深入肾锥体之间的部分称为肾柱|肾小管的数目较肾乳头多|肾皮质主要由肾小体和肾小管构成|B
男,62岁,3天前,突发排尿困难,尿线变细,入院后急查B超,显示:前列腺增生,约6cmx5cmx5cm大小,医生给予留置导尿,抗感染等治疗。试问关于男性尿道的叙述正确的是|有3个弯曲|有2个膨大|有2个狭窄|内口为输尿管口|导尿时须注意尿道的狭窄和弯曲|E
男性,48岁,于6小时前因盖房,不慎从房上跌落,右腰部受到撞击,当即出现右腰区剧烈疼痛,伴恶心,神志一度不清。伤后排尿一次,为肉眼血尿,伴有血块。入院后B超检查:右肾影增大,结构不清,肾内回声失常,包膜不完整,肾周呈现大片环状低回声。诊断为右肾外伤。试问肾的被膜由内向外有哪些|肾筋膜、脂肪囊、纤维囊|肾筋膜、纤维囊、脂肪囊|脂肪囊、纤维囊、肾筋膜|脂肪囊、肾筋膜、纤维囊|纤维囊、脂肪囊、肾筋膜|E
男性,39岁,在建筑工地劳动时不慎从高处跌落,臀部着地。当时无明显不适而继续工作,约1小时后感到左腰痛,排尿呈红色,尿显微镜检查见红细胞满视野,体检腹部平软,无明显肿块。急诊作尿路造影无异常发现。应考虑诊断|尿道损伤|膀胱损伤|输尿管损伤|肾挫伤|腰臀部肌肉损伤|D
男性,62岁,近三年来排尿困难,尿线变细,尿程变短,逐渐加重,近两月出现尿分段,有淋漓不尽感,经B超检查,诊断为前列腺肥大,试问前列腺哪个叶肿大易于压迫尿道|前叶|后叶|中叶|左外侧叶|右外侧叶|C
女性,35岁,因交通事故致大腿严重挤压伤就诊,化验检查,尿蛋白++++,其蛋白尿的类型可能为|肾小球性蛋白尿|肾小管性蛋白尿|溢出性蛋白尿|分泌性蛋白尿|组织性蛋白尿|C
男性,31岁。晨起眼睑水肿2年,腰部酸痛,体格检查:血压167/93mmHg,双踝部凹陷性水肿,血蛋白101g/L,尿常规:蛋白++,红细胞10~15个/HP,白细胞0~3个/HP,24小时尿蛋白定量1.8g,血浆白蛋白34g/L,血Cr133.8mol/L,BUN10.5mmol/L最可能的诊断是|缺铁性贫血|急性肾小球肾炎|慢性肾小球肾炎|肾病综合征|原发性高血压|C
男性,29岁,近5年来反复低热、腰痛、伴尿频、尿痛,血压150/100mmHg,尿常规:尿比重均为1.010,蛋白+、红细胞0~2/HP、白细胞15~20/HP,血尿素6.5mmol/L,内生肌酐清除率80ml/min,尿培养大肠埃希菌二次均为阴性,其可能的诊断是|慢性肾小球肾炎|慢性间质性肾炎|肾病综合征|慢性肾盂肾炎|肾结核|E
肾门位于|肾的外侧缘|肾的内侧缘|肾的上端|肾的下端|肾的前面|B
肾蒂中的结构不包括|肾动脉|肾静脉|输尿管|肾盂|神经|C
肾筋膜在肾周呈开放状态的方向|向上|向外侧|向内侧|向下|向下外侧|D
肾实质的结构不包括|肾锥体|肾乳头|肾小盏|肾乳头孔|肾柱|C
输送尿液离开肾的结构|肾乳头孔|肾小盏|肾大盏|肾盂|输尿管|D
膀胱镜检时,可见一苍白带状结构|输尿管口|尿道内口|膀胱三角|输尿管间装|膀胱垂|D
膀胱后方的毗邻器官不包括|输精管壶腹|精囊|子宫|阴道|前列腺|E
膀胱镜检查时的重要标志结构为|黏膜皱|输尿管间襞|膀胱三角|输尿管口处|尿道内口处|B
右肾门前方|肝|胰头|胆囊|十二指肠降部|脾|D
左肾门前方|胃|胰尾|隔|十二指肠降部|脾|B
肾门约平对|第11胸椎体下缘|第12胸椎体上缘|第1腰椎体平面|第2~3腰椎椎间盘|第3腰椎体上缘|C
左肾上端平对|第11胸椎体下缘|第12胸椎体上缘|第1腰椎体平面|第2~3腰椎椎间盘|第3腰椎体上缘|A
右肾下端平对|第11胸椎体下缘|第12胸椎体上缘|第1腰椎体平面|第2~3腰椎椎间盘|第3腰椎体上缘|E
