# 第四章抗体选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
抗体与抗原特异性结合的部位是|CH和CL|VH和CL|VH和CH|VL和CL|VH和VL|E
抗体分子的基本结构是|一条重链和一条轻链|一条重链和二条轻链|二条重链和二条轻链|二条重链和一条轻链|一条Fab链和一条Fc链|C
脐血中含量增高,提示胎儿有宫内感染的免疫球蛋白是|IgA|IgM|IgG|IgD|IgE|B
半衰期最长的免疫球蛋白是|IgG|IgM|IgE|IgD|IgA|A
激活补体能力最强的免疫球蛋白是|IgG|IgM|IgE|IgD|IgA|B
在局部黏膜抗感染免疫中发挥重要作用的免疫球蛋白是|IgG|IgM|IgE|IgD|SIgA|E
具有亲细胞作用且与抗寄生虫免疫有关的免疫球蛋白是|IgG|IgM|IgE|IgD|SIgA|C
个体发育过程中最早合成和分泌的免疫球蛋白是|IgG|IgM|IgE|IgD|IgA|B
新生儿通过自然被动免疫可从母体获得的免疫球蛋白为|IgM和IgE|IgG和IgD|IgG和IgE|IgM和IgG|IgG和SIgA|E
分子量最大的免疫球蛋白是|IgG|IgM|IgE|IgD|IgA|B
标志B细胞发育成熟的免疫球蛋白是|IgG|mIgM|IgE|mIgD|SIgA|D
具有J链的免疫球蛋白是|IgG|mIgM|IgE|mIgD|SIgA|E
寄生虫感染时,体内含量明显升高的免疫球蛋白是|IgG|mIgM|IgE|mIgD|SIgA|C
正常人血清中含量最高的免疫球蛋白是|IgA|IgG|IgM|IgD|IgE|B
正常人血清中含量最低的免疫球蛋白是|IgA|IgG|IgM|IgD|IgE|E
初次免疫应答中出现最早的抗体是|IgA|IgG|IgM|IgD|IgE|C
再次免疫应答产生的主要抗体是|IgA|IgG|IgM|IgD|IgE|B
提示新近发生感染,可用于感染的早期诊断的抗体是|IgA|IgG|IgM|IgD|IgE|C
连接SIgA二聚体的结构是|二硫键|共价键|分泌片|J链|铰链区|D
巨球蛋白血症患者血清中明显增多的免疫球蛋白是|IgA|IgG|IgM|IgD|IgE|C
胃肠道和支气管分泌液中的主要抗体是|IgG|mIgM|IgE|mIgD|SIgA|E
调理功能最强的抗体是|IgA|IgG|IgM|IgD|IgE|B
单克隆抗体的特点是|特异性不高|易发生交叉反应|不易大量制备|来源广泛|只识别某一特定抗原表位|E
介导I型超敏反应的免疫球蛋白是|IgA|IgD|IgE|IgM|IgG|C
木瓜蛋白酶将抗体水解成的Fc是指|补体片段|抗体片段|可变区片段|可结晶片段|恒定区片段|D
木瓜蛋白酶将抗体水解成的Fab是指|抗体结合片段|抗原结合片段|补体结合片段|抗原效应片段|抗体效应片段|B
能合成并分泌抗体的细胞是|嗜酸性粒细胞|T细胞|NK细胞|浆细胞|肥大细胞|D
合成SIgA J链的细胞是|嗜酸性粒细胞|T细胞|B细胞|浆细胞|肥大细胞|D
合成SIgA分泌片的细胞是|黏膜上皮细胞|T细胞|B细胞|浆细胞|肥大细胞|A
细胞表面高表达FcεR的是|嗜酸性粒细胞|嗜碱性粒细胞|中性粒细胞|NK细胞|血管内皮细胞|B
与肥大细胞表面FcεRI结合的免疫球蛋白是|IgA|IgD|IgE|IgM|IgG|C
与NK细胞、巨噬细胞表面的Fc受体结合并介导ADCC效应的主要免疫球蛋白是|IgA|IgD|IgE|IgM|IgG|E
初始B细胞成熟的标志是表达|mIgG和mIgA|mIgD和mIgM|mIgM|FcR|分泌IgG|B
不含有铰链区的Ig是|IgA和IgD|IgM和IgE|IgA和IgM|IgG和IgE|IgA和IgE|B
J链的功能为|结合SIgA并转运到黏膜表面|保护Ig绞链区|将重链连接形成双体|将单体Ig分子连接为多聚体|将轻链和重链偶联|D
主要以单体形式存在的免疫球蛋白是|IgA、IgD、IgM|IgM、IgE、IgD|IgA、IgM、IgG|IgG、IgE、IgD|IgA、IgE、IgM|D
正常人血清免疫球蛋白κ:λ为|2:1|1:2|20:1|1:20|1:5|A
IgM实际结合抗原价一般是|一价|二价|三价|四价|五价|E
接种疫苗后首先产生的抗体是|IgA|IgD|IgE|IgM|IgG|D
抗原结合价为4价的免疫球蛋白是|IgG|SIgA|IgM|IgE|IgD|B
患儿,李某,喝牛奶后出现呕吐、腹痛、腹胀,皮肤出现密集的粟粒大小的丘疹,基底潮红。出现该反应的主要机制可能是|特异性IgE抗体产生|特异性IgG抗体产生|Th1细胞激活|NK细胞激活|牛奶变质|A
用ELISA间接法检测人血清中抗乙肝表面抗原的中和抗体IgG,辣根过氧化物酶标记的抗IgG抗体(二抗)与不同患者IgG结合的表位是|同种型|同种异型|异种抗原|移植抗原|独特型|B
接种流感疫苗产生的免疫效应物质可阻断流感病毒入侵,其机制是|诱导高水平IgM|诱导大量细胞因子|诱导产生中和抗体|诱导补体活性片段产生|诱导特异性T细胞应答|C
流感病毒血凝素(HA)与黏膜免疫佐剂制成的疫苗滴鼻免疫后,鼻洗液中主要检测到的抗体是|针对病毒核酸的IgG|针对血凝素的IgM|针对血凝素的IgE|针对血凝素的IgG|针对血凝素的SIgA|E
口服脊髓灰质炎糖丸后,肠内含量明显升高的免疫球蛋白是|SIgA|IgD|IgG|IgM|IgE|A
患儿,女性,5岁,一天前无明显诱因出现发热,最高体温39.5°C,咳嗽,气促,诊断为急性上呼吸道感染。参与呼吸道黏膜免疫的抗体主要是|IgG|mIgM|IgE|mIgD|SIgA|E
患儿,6岁,因食欲缺乏,面黄体瘦,脐周腹痛就诊。粪便检查发现蛔虫卵,血常规检查嗜酸性粒细胞增高。患儿血清中浓度可明显升高的抗体是|IgG|mIgM|IgE|mIgD|SIgA|C
患儿,男性,8岁,被疯狗咬伤后,注射混合人抗狂犬病毒免疫球蛋白进行紧急预防。人体内抗病毒、中和毒素最重要的抗体类别是|IgG|IgM|IgE|IgD|IgA|A
患者,男性,30岁,早晨去野外散步,路遇刚打过除草剂的麦田,回家后双下肢出现局限性瘙痒,后逐渐向全身应激性弥漫发展。参与该反应的免疫球蛋白是|IgG|IgM|IgE|IgD|IgA|C
提倡母乳喂养可以让新生儿接受自然被动免疫机制,对新生儿抗感染具有重要意义的免疫球蛋白是|IgM和IgE|IgG和IgD|IgG和IgE|IgM和IgG|IgG和SIgA|E
孕妇,李某,孕32周。发热,腋下体温38.5°C,心率加快,白细胞计数增高,哪种抗体增高可提示宫内感染|IgM|IgD|IgE|IgG|IgA|A
患者,男性,27岁,自述昨日与朋友吃烧烤和啤酒至凌晨,今恶心呕吐,腹痛腹泻,大便呈水样,初步诊断为急性胃肠炎。参与肠道抗感染免疫的主要免疫球蛋白是|IgM|mIgD|IgE|IgG|SIgA|E
孕妇,李某,Rh(-),第二胎Rh(+)。婴儿出生后出现皮肤瘀斑,胸腔积液,腹水,心音低,心率快,呼吸困难,肝脾肿大,诊断为新生儿溶血病。引起该病的Rh血型抗体是哪类免疫球蛋白|IgM|IgD|IgE|IgG|IgA|D
患者,张某,女性,58岁。有出血,高粘滞血症,肾功能不全,眼底静脉曲张,血红蛋白6.0g/L,诊断为巨球蛋白血症。该患者血清中异常增多的免疫球蛋白是|IgM|IgD|IgE|IgG|IgA|A
研究生邓某,实验操作过程中不小心被生锈的铁器割伤,迅速赶往医院注射抗破伤风免疫球蛋白。为提纯抗破伤风抗毒素,一般需经哪种处理|胃蛋白酶水解|木瓜蛋白酶水解|胰酶水解|淀粉酶水解|葡萄糖酶水解|A
血清含量最高的是|IgM|IgG|IgE|SIgA|mIgD|B
激活补体能力最强的是|IgM|IgG|IgE|SIgA|mIgD|A
血清含量最低的是|IgM|IgG|IgE|SIgA|mIgD|C
标志B细胞分化成熟的是|IgM|IgG|IgE|SIgA|mIgD|E
Ig可变区的CDR部分为鼠源,其余为人源的抗体是|单克隆抗体|人源化抗体|单链抗体|嵌合抗体|改型抗体|B
由杂交骨髓瘤细胞分泌的抗体是|单克隆抗体|人源化抗体|单链抗体|嵌合抗体|改型抗体|A
仅含可变区的抗体是|单克隆抗体|人源化抗体|单链抗体|嵌合抗体|改型抗体|C
